scraped_date,title,department,location,job_id,url,scraped_time
2025-03-11,Psychiatric Nurse,Psych Acute Adult,"Woodland, CA",78579451344,https://www.commonspirit.careers/job/woodland/psychiatric-nurse/35300/78579451344,11:40:20
2025-03-11,Skilled Facility Associate,Facility Services,"Northridge, CA",78579450656,https://www.commonspirit.careers/job/northridge/skilled-facility-associate/35300/78579450656,11:40:20
2025-03-11,Occupational Therapist,Occupational Therapy-Hha,"Santa Maria, Santa Barbara, CA",78579444912,https://www.commonspirit.careers/job/santa-maria/occupational-therapist/35300/78579444912,11:40:20
2025-03-11,Assistant Nurse Manager,Coronary Care,"Santa Maria, Santa Barbara, CA",78579444800,https://www.commonspirit.careers/job/santa-maria/assistant-nurse-manager/35300/78579444800,11:40:20
2025-03-11,Medical Assistant I,Family Practice Clinic,"Mount Shasta, CA",78579444736,https://www.commonspirit.careers/job/mount-shasta/medical-assistant-i/35300/78579444736,11:40:20
2025-03-11,RN III NICU,Neonatal ICU,"Oxnard, CA",78579444688,https://www.commonspirit.careers/job/oxnard/rn-iii-nicu/35300/78579444688,11:40:20
2025-03-11,Tutor,Community Wellness,"Bakersfield, CA",78579444304,https://www.commonspirit.careers/job/bakersfield/tutor/35300/78579444304,11:40:21
2025-03-11,Housekeeping Southwest Facility,Environmental Services,"Bakersfield, CA",78579444256,https://www.commonspirit.careers/job/bakersfield/housekeeping-southwest-facility/35300/78579444256,11:40:21
2025-03-11,EEG Technologist,Electroneurodiagnostics,"Bakersfield, CA",78579444128,https://www.commonspirit.careers/job/bakersfield/eeg-technologist/35300/78579444128,11:40:21
2025-03-11,Physical Therapy Assistant,Physical Therapy,"Santa Maria, Santa Barbara, CA",78579443568,https://www.commonspirit.careers/job/santa-maria/physical-therapy-assistant/35300/78579443568,11:40:21
2025-03-11,Radiology Tech,Radiology,"Long Beach, CA",78579442528,https://www.commonspirit.careers/job/long-beach/radiology-tech/35300/78579442528,11:40:21
2025-03-11,Radiology/CT Tech,Radiology,"Long Beach, CA",78403120672,https://www.commonspirit.careers/job/long-beach/radiology-ct-tech/35300/78403120672,11:40:21
2025-03-11,Clinical Informaticist RN,Clinical Informatics,"Rancho Cordova, CA",78579440448,https://www.commonspirit.careers/job/rancho-cordova/clinical-informaticist-rn/35300/78579440448,11:40:21
2025-03-11,Chief Operating Officer,Administration,"Glendale, Los Angeles, CA",78579429120,https://www.commonspirit.careers/job/glendale/chief-operating-officer/35300/78579429120,11:40:21
2025-03-11,Surgery Nurse,Surgery,"Stockton, CA",78039095696,https://www.commonspirit.careers/job/stockton/surgery-nurse/35300/78039095696,11:40:21
2025-03-11,Endo Nurse,Endoscopy,"Stockton, CA",77982653792,https://www.commonspirit.careers/job/stockton/endo-nurse/35300/77982653792,11:40:23
2025-03-11,Instrument Technician,Central Sterilization,"Sacramento, CA",78579414384,https://www.commonspirit.careers/job/sacramento/instrument-technician/35300/78579414384,11:40:23
2025-03-11,Physical Therapist,Acute Inpatient Physical Therapy,"Sacramento, CA",76970854048,https://www.commonspirit.careers/job/sacramento/physical-therapist/35300/76970854048,11:40:23
2025-03-11,Primary Care Liaison RN,Family Practice Clinic,"Woodland, CA",74793829888,https://www.commonspirit.careers/job/woodland/primary-care-liaison-rn/35300/74793829888,11:40:23
2025-03-11,OR Circulator Nurse,Ambulatory Surgery,"Stockton, CA",74072759632,https://www.commonspirit.careers/job/stockton/or-circulator-nurse/35300/74072759632,11:40:23
2025-03-11,CNA,Telemetry,"Long Beach, CA",73915995024,https://www.commonspirit.careers/job/long-beach/cna/35300/73915995024,11:40:23
2025-03-11,EVS Tech,Environmental Services,"San Bernardino, CA",78573896720,https://www.commonspirit.careers/job/san-bernardino/evs-tech/35300/78573896720,11:40:23
2025-03-11,EVS Tech,Environmental Services,"San Bernardino, CA",78573896656,https://www.commonspirit.careers/job/san-bernardino/evs-tech/35300/78573896656,11:40:23
2025-03-11,RN PCU,Medical / Surgical ICU,"San Luis Obispo, CA",76146384384,https://www.commonspirit.careers/job/san-luis-obispo/rn-pcu/35300/76146384384,11:40:23
2025-03-11,RN II FSP Telemetry,Nursing Administration,"Oxnard, CA",78552769536,https://www.commonspirit.careers/job/oxnard/rn-ii-fsp-telemetry/35300/78552769536,11:40:23
2025-03-11,RN Pediatrics,Pediatrics,"Redding, CA",76965636288,https://www.commonspirit.careers/job/redding/rn-pediatrics/35300/76965636288,11:40:23
2025-03-11,Medical Assistant,Endocrinology Clinic,"Folsom, CA",76020749168,https://www.commonspirit.careers/job/folsom/medical-assistant/35300/76020749168,11:40:23
2025-03-11,Central Svs Tech,Central Sterilization,"Bakersfield, CA",78549554736,https://www.commonspirit.careers/job/bakersfield/central-svs-tech/35300/78549554736,11:40:23
2025-03-11,RN Emergency Services,Emergency Services,"Bakersfield, CA",78549554672,https://www.commonspirit.careers/job/bakersfield/rn-emergency-services/35300/78549554672,11:40:23
2025-03-11,LVN,Emergency Services,"Bakersfield, CA",78549554624,https://www.commonspirit.careers/job/bakersfield/lvn/35300/78549554624,11:40:23
2025-03-11,RN Surgery,General Surgery,"Bakersfield, CA",78549554544,https://www.commonspirit.careers/job/bakersfield/rn-surgery/35300/78549554544,11:40:25
2025-03-11,RN Med Surg Tele,Medical / Surgical Tele 3 North,"Stockton, CA",78549553696,https://www.commonspirit.careers/job/stockton/rn-med-surg-tele/35300/78549553696,11:40:25
2025-03-11,RN II Emergency Services,Emergency Services,"Camarillo, CA",77668792384,https://www.commonspirit.careers/job/camarillo/rn-ii-emergency-services/35300/77668792384,11:40:25
2025-03-11,Occupational Therapist,Rehab Services PT / OT / Speech,"Redwood City, CA",76141940208,https://www.commonspirit.careers/job/redwood-city/occupational-therapist/35300/76141940208,11:40:25
2025-03-11,Unit Assistant,Emergency Services,"Sacramento, CA",78549519568,https://www.commonspirit.careers/job/sacramento/unit-assistant/35300/78549519568,11:40:25
2025-03-11,Senior Financial Data Analyst,General Accounting,"Los Angeles, CA",78228836608,https://www.commonspirit.careers/job/los-angeles/senior-financial-data-analyst/35300/78228836608,11:40:25
2025-03-11,Endoscopy Nurse,Endoscopy,"Sacramento, CA",73548662512,https://www.commonspirit.careers/job/sacramento/endoscopy-nurse/35300/73548662512,11:40:25
2025-03-11,Specialty Medical Assistant,General Medical Clinic,"Santa Maria, Santa Barbara, CA",78546380528,https://www.commonspirit.careers/job/santa-maria/specialty-medical-assistant/35300/78546380528,11:40:25
2025-03-11,Emergency Management Safety Officer,Safety,"Carmichael, CA",78546380336,https://www.commonspirit.careers/job/carmichael/emergency-management-safety-officer/35300/78546380336,11:40:25
2025-03-11,Medical Assistant Southwest Facility,Women's Breast Center,"Bakersfield, CA",78546380256,https://www.commonspirit.careers/job/bakersfield/medical-assistant-southwest-facility/35300/78546380256,11:40:25
2025-03-11,RN Emergency,Emergency Services,"Redding, CA",78546380048,https://www.commonspirit.careers/job/redding/rn-emergency/35300/78546380048,11:40:25
2025-03-11,RN Emergency,Emergency Services,"Redding, CA",78546380016,https://www.commonspirit.careers/job/redding/rn-emergency/35300/78546380016,11:40:25
2025-03-11,RN Pediatrics ICU,Pediatrics,"Northridge, CA",78536716320,https://www.commonspirit.careers/job/northridge/rn-pediatrics-icu/35300/78536716320,11:40:25
2025-03-11,RN Neonatal ICU,Neonatal ICU,"Northridge, CA",78536716288,https://www.commonspirit.careers/job/northridge/rn-neonatal-icu/35300/78536716288,11:40:25
2025-03-11,LVN,Assisted Living,"Sacramento, CA",78546379120,https://www.commonspirit.careers/job/sacramento/lvn/35300/78546379120,11:40:26
2025-03-11,CNA Sub Acute,Sub-Acute Care,"Camarillo, CA",78546374192,https://www.commonspirit.careers/job/camarillo/cna-sub-acute/35300/78546374192,11:40:27
2025-03-11,Manager Respiratory Therapy Services,Respiratory Therapy,"Santa Cruz, CA",78029189360,https://www.commonspirit.careers/job/santa-cruz/manager-respiratory-therapy-services/35300/78029189360,11:40:27
2025-03-11,Medical Assistant,Orthopedics,"Redding, CA",77293365264,https://www.commonspirit.careers/job/redding/medical-assistant/35300/77293365264,11:40:27
2025-03-11,Surgical Tech,Surgery,"Redding, CA",77236881248,https://www.commonspirit.careers/job/redding/surgical-tech/35300/77236881248,11:40:27
2025-03-11,Licensed Stationary Engineer,Plant Operations,"Los Angeles, CA",73548657296,https://www.commonspirit.careers/job/los-angeles/licensed-stationary-engineer/35300/73548657296,11:40:27
2025-03-11,Interventional Diagnostic Radiology Technologist,Radiology,"Santa Cruz, CA",72959507056,https://www.commonspirit.careers/job/santa-cruz/interventional-diagnostic-radiology-technologist/35300/72959507056,11:40:27
2025-03-11,IT End User Services Specialist,Information Technology,"Stockton, CA",78541934528,https://www.commonspirit.careers/job/stockton/it-end-user-services-specialist/35300/78541934528,11:40:27
2025-03-11,IT End User Services Specialist,Information Technology,"Redding, CA",78541934480,https://www.commonspirit.careers/job/redding/it-end-user-services-specialist/35300/78541934480,11:40:28
2025-03-11,Program Coordinator,Community Health / Education Grant Funded,"Northridge, CA",78541916208,https://www.commonspirit.careers/job/northridge/program-coordinator/35300/78541916208,11:40:28
2025-03-11,Care Assistant,Definitive Observation,"Sacramento, CA",78541915024,https://www.commonspirit.careers/job/sacramento/care-assistant/35300/78541915024,11:40:28
2025-03-11,Financial Services Associate II,General Medical Clinic,"Santa Maria, Santa Barbara, CA",78541907536,https://www.commonspirit.careers/job/santa-maria/financial-services-associate-ii/35300/78541907536,11:40:28
2025-03-11,Specialty Medical Assistant,General Medical Clinic,"Santa Maria, Santa Barbara, CA",78541907472,https://www.commonspirit.careers/job/santa-maria/specialty-medical-assistant/35300/78541907472,11:40:28
2025-03-11,RN Telemetry,Telemetry,"San Bernardino, CA",78541907408,https://www.commonspirit.careers/job/san-bernardino/rn-telemetry/35300/78541907408,11:40:28
2025-03-11,RN Telemetry,Telemetry,"San Bernardino, CA",78541907376,https://www.commonspirit.careers/job/san-bernardino/rn-telemetry/35300/78541907376,11:40:28
2025-03-11,RN Telemetry,Telemetry,"San Bernardino, CA",78541907296,https://www.commonspirit.careers/job/san-bernardino/rn-telemetry/35300/78541907296,11:40:28
2025-03-11,RN Emergency Services,Emergency Services,"San Bernardino, CA",78541907232,https://www.commonspirit.careers/job/san-bernardino/rn-emergency-services/35300/78541907232,11:40:30
2025-03-11,RN Emergency Services,Emergency Services,"San Bernardino, CA",78541907152,https://www.commonspirit.careers/job/san-bernardino/rn-emergency-services/35300/78541907152,11:40:30
2025-03-11,Patient Services Associate II,General Medical Clinic,"Santa Maria, Santa Barbara, CA",78541907072,https://www.commonspirit.careers/job/santa-maria/patient-services-associate-ii/35300/78541907072,11:40:30
2025-03-11,Security Officer,Security,"Redding, CA",78541906816,https://www.commonspirit.careers/job/redding/security-officer/35300/78541906816,11:40:30
2025-03-11,Physical Therapist II,Physical Therapy,"Oxnard, CA",78411145632,https://www.commonspirit.careers/job/oxnard/physical-therapist-ii/35300/78411145632,11:40:30
2025-03-11,Dietitian,Nutrition Services,"Merced, CA",78541899392,https://www.commonspirit.careers/job/merced/dietitian/35300/78541899392,11:40:30
2025-03-11,RN Emergency Services,Emergency Services,"Long Beach, CA",77877885424,https://www.commonspirit.careers/job/long-beach/rn-emergency-services/35300/77877885424,11:40:30
2025-03-11,Security Officer,Security,"Stockton, CA",77750284144,https://www.commonspirit.careers/job/stockton/security-officer/35300/77750284144,11:40:30
2025-03-11,Surgery Nurse,Surgery,"Sacramento, CA",77338856112,https://www.commonspirit.careers/job/sacramento/surgery-nurse/35300/77338856112,11:40:30
2025-03-11,RN Neonatal ICU,Neonatal ICU,"Northridge, CA",78536716176,https://www.commonspirit.careers/job/northridge/rn-neonatal-icu/35300/78536716176,11:40:30
2025-03-11,NUTRITION ASSISTANT 1,Food Service,"Santa Maria, Santa Barbara, CA",78536715696,https://www.commonspirit.careers/job/santa-maria/nutrition-assistant-1/35300/78536715696,11:40:30
2025-03-11,STAFF NURSE,Surgery,"Redwood City, CA",78536715136,https://www.commonspirit.careers/job/redwood-city/staff-nurse/35300/78536715136,11:40:30
2025-03-11,Palliative Care Coordinator Per Diem,Care Coordination,"Redwood City, CA",78536714256,https://www.commonspirit.careers/job/redwood-city/palliative-care-coordinator-per-diem/35300/78536714256,11:40:30
2025-03-11,RN PRN Tele,Definitive Observation,"San Luis Obispo, CA",78338270656,https://www.commonspirit.careers/job/san-luis-obispo/rn-prn-tele/35300/78338270656,11:40:30
2025-03-11,Monitor Tech,Telemetry,"Long Beach, CA",78536708016,https://www.commonspirit.careers/job/long-beach/monitor-tech/35300/78536708016,11:40:30
2025-03-11,CNA Sub Acute,Sub-Acute Care,"Camarillo, CA",78536707968,https://www.commonspirit.careers/job/camarillo/cna-sub-acute/35300/78536707968,11:40:32
2025-03-11,CNA Sub Acute,Sub-Acute Care,"Camarillo, CA",78536707920,https://www.commonspirit.careers/job/camarillo/cna-sub-acute/35300/78536707920,11:40:32
2025-03-11,CNA Sub Acute,Sub-Acute Care,"Camarillo, CA",78536707904,https://www.commonspirit.careers/job/camarillo/cna-sub-acute/35300/78536707904,11:40:32
