Scrape Date,Job Title,Location,Category,Requisition,Posting Date,Description,Job Link,Scrape Time
2025-03-13,Clinical Social Worker,San Francisco Medical Center,Category: Care Coordination,Requisition: 84370BR,Posting Date: 3/13/2025,"The Licensed Clinical Social Worker 3 (CSW 3) is the lead medical social worker at the UCSF Women's HIV Program. This role includes clinical and leadership tasks. The CSW 3provides psychosocial assessment, crisis intervention, brief therapeutic interventions, group facilitation, consultation and clinical supervision, education, community linkages ...",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=6495&siteid=5861&jobid=3644049,13:40:56
2025-03-13,Program Manager,Davis,Category: Instructional Services,Requisition: 76910,Posting Date: 3/13/2025,"CA-SSThis position requires consummate skills in physician and health professions faculty education, development and relations, staff management and development, fiscal management, and expertise in regulatory and certification matters within the context of continuing medical education. This includes ACCME standards and policies including the ...",https://careerspub.universityofcalifornia.edu/psc/ucdavis/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&JobOpeningId=76910&PostingSeq=1&SiteId=7&languageCd=ENG&FOCUS=Applicant,13:40:56
2025-03-13,Recreation Therapist,San Francisco Medical Center,Category: Rehabilitation,Requisition: 84369BR,Posting Date: 3/13/2025,"Coordinates management of creative arts and recreation therapy program, including leading staff, volunteers, and interns, program development initiatives, and donor relations. Provides comprehensive creative arts and recreation therapy assessment and treatment interventions for patients, involving families as appropriate for the target population ...",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=6495&siteid=5861&jobid=3644048,13:40:56
2025-03-13,Senior Research Financial Analyst,San Francisco,Category: Clinical Research,Requisition: 84371BR,Posting Date: 3/13/2025,"Uses advanced contracts and grants concepts to manage high volume and high complexity transactions. May review and guide others in the review of financial and administrative management requirements of research contract and grant proposals, awards, and / or transactions to ensure compliance with institutional and sponsor policies. Works ...",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=6495&siteid=5861&jobid=3644050,13:40:56
2025-03-13,(LVN) Licensed Vocational Nurse - OB/GYN Clinic,San Diego Health System,Category: Nursing,Requisition: 134868,Posting Date: 3/12/2025,See UCSD Job Bulletin for description,http://jobs.ucsd.edu/bulletin/job.aspx?jobnum_in=134868,13:40:56
2025-03-13,(MA) Medical Assistant - Dermatology,San Diego Health System,Category: Ambulatory Care Clinics,Requisition: 134839,Posting Date: 3/12/2025,See UCSD Job Bulletin for description,http://jobs.ucsd.edu/bulletin/job.aspx?jobnum_in=134839,13:40:56
2025-03-13,(RN) New Grad Registered Nurse-2 East IMU/PCU,San Diego Health System,Category: Nursing,Requisition: 134855,Posting Date: 3/12/2025,See UCSD Job Bulletin for description,http://jobs.ucsd.edu/bulletin/job.aspx?jobnum_in=134855,13:40:56
2025-03-13,(RN) New Grad Registered Nurse-2 West PCU,San Diego Health System,Category: Nursing,Requisition: 134877,Posting Date: 3/12/2025,See UCSD Job Bulletin for description,http://jobs.ucsd.edu/bulletin/job.aspx?jobnum_in=134877,13:40:56
2025-03-13,(RN) New Grad Registered Nurse - 4FGH Oncology PCU,San Diego Health System,Category: Nursing,Requisition: 134851,Posting Date: 3/12/2025,See UCSD Job Bulletin for description,http://jobs.ucsd.edu/bulletin/job.aspx?jobnum_in=134851,13:40:56
2025-03-13,(RN) New Grad Registered Nurse - Hillcrest PCU,San Diego Health System,Category: Nursing,Requisition: 134847,Posting Date: 3/12/2025,See UCSD Job Bulletin for description,http://jobs.ucsd.edu/bulletin/job.aspx?jobnum_in=134847,13:40:56
